Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Phaki Personnel Management Services,Professional Services,Recruitment,Pretoria,,Gauteng,https://www.phakipersonnel.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.phakipersonnel.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Quest Staffing Solutions,Professional Services,Recruitment,Johannesburg,Gallo Manor,Gauteng,https://quest.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139126/quest-staffing-solutions-johannesburg,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Measured Ability Staffing (MASA),Professional Services,Recruitment,Johannesburg,Houghton Estate,Gauteng,https://measuredability.com,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138363/measured-ability,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Robert Walters Johannesburg,Professional Services,Recruitment,Sandton,,Gauteng,https://www.robertwalters.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138346/robert-walters-johannesburg,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Aurecon,Engineering,Engineering Consultancy,Pretoria,,Gauteng,https://www.aurecongroup.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.aurecongroup.com/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Imperial Logistics,Logistics/Transport,Logistics,Johannesburg,,Gauteng,https://www.imperiallogistics.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.imperiallogistics.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Super Group,Logistics/Transport,Fleet and Logistics,Sandton,,Gauteng,https://www.supergroup.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.supergroup.co.za/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
RCL Foods (Vector Logistics),Logistics/Transport,Supply Chain,Midrand,,Gauteng,https://www.rclfoods.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.rclfoods.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
GIBB Engineering & Architecture,Engineering,Engineering Consultancy,Johannesburg,Woodmead,Gauteng,https://www.gibb.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.gibb.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Bigen Group,Engineering,Engineering and Infrastructure,Pretoria,,Gauteng,https://www.bigenafrica.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.bigenafrica.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Barloworld Logistics,Logistics/Transport,Logistics,Johannesburg,,Gauteng,https://www.barloworld-logistics.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.barloworld-logistics.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Tiger Brands,Manufacturing,Consumer Goods Manufacturing,Johannesburg,Bryanston,Gauteng,https://www.tigerbrands.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, managed IT, endpoint management, backup",Discovery & Security Baseline Assessment,55,C,Sector fit=manufacturing; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.tigerbrands.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Nampak,Manufacturing,Packaging Manufacturing,Johannesburg,Bryanston,Gauteng,https://www.nampak.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, managed IT, endpoint management, backup",Discovery & Security Baseline Assessment,55,C,Sector fit=manufacturing; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.nampak.com/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Afrizan People Intelligence,Professional Services,Recruitment and Consulting,Johannesburg,,Gauteng,https://www.afrizan.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,55,C,Sector fit=consulting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.afrizan.co.za/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Continental Brands,Manufacturing,Food Manufacturing,Johannesburg,Linbro Park,Gauteng,https://continentalbrands.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, managed IT, endpoint management, backup",Discovery & Security Baseline Assessment,55,C,Sector fit=manufacturing; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://continentalbrands.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Servest Group,Professional Services,Facilities Management,Midrand,,Gauteng,https://www.servest.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,55,C,Sector fit=consulting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.servest.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Rich’s Products South Africa,Manufacturing,Food Manufacturing,Olifantsfontein,,Gauteng,https://richs.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, managed IT, endpoint management, backup",Discovery & Security Baseline Assessment,55,C,Sector fit=manufacturing; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://richs.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Six Sense Consulting,Consulting Services,Consulting/Recruitment/Training,Randburg,Greenside East,Gauteng,https://www.sixsense.co.za/,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,55,C,Sector fit=consulting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/location/gauteng,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Stefanutti Stocks,Construction,Construction Services,Bedfordview,,Gauteng,https://www.stefanuttistocks.com,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.stefanuttistocks.com/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Tiber Construction,Construction,Construction Services,Sandton,,Gauteng,https://www.tiber.co.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.tiber.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Galetti Corporate Real Estate,Property,Commercial Property,Sandton,,Gauteng,https://www.galetti.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.galetti.co.za/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Pam Golding Properties,Property,Real Estate,Johannesburg,,Gauteng,https://www.pamgolding.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.pamgolding.co.za/offices/gauteng,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Training Force,Training/Education,Corporate Training,Roodepoort,,Gauteng,https://www.trainingforce.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.trainingforce.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
CrawfordSchools,Training/Education,Private Education,Johannesburg,Lonehill,Gauteng,https://www.crawfordschools.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.crawfordschools.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Rawson Properties,Property,Real Estate,Randburg,,Gauteng,https://www.rawson.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.rawson.co.za/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Seeff Properties,Property,Real Estate,Randburg,,Gauteng,https://www.seeff.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.seeff.com/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
SGB-Cape,Construction,Construction Services,Germiston,,Gauteng,https://www.sgb-cape.co.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.sgb-cape.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Tower Property Fund,Property,Property Fund,Johannesburg,Illovo,Gauteng,https://www.towerpropertyfund.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.towerpropertyfund.co.za/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Africa Skills Village,Training/Education,Skills Training,Centurion,,Gauteng,https://www.africaskills.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.africaskills.co.za/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Etchells and Young Property Brokers,Property,Commercial Property,Johannesburg,Ferndale,Gauteng,https://www.etchellsandyoung.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139123/etchells-and-young-property-brokers,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Chas Everitt Head Office,Property,Real Estate,Johannesburg,Randpark Ridge,Gauteng,https://www.chaseveritt.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139137/chas-everitt-head-office,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
ActionAid South Africa,NGO/Association,Non-Profit Organization,Johannesburg,,Gauteng,https://www.actionaid.org.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,53,C,Sector fit=ngo; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.actionaid.org.za/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Bidvest Prestige,Hospitality/Services,Facilities Services,Johannesburg,,Gauteng,https://www.bidvestprestige.co.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=hospitality; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.bidvestprestige.co.za/contact-us/,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Tsogo Sun Hotels,Hospitality,Hotels,Sandton,,Gauteng,https://www.tsogosun.com,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=hospitality; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.tsogosun.com/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
City Lodge Hotels Group,Hospitality,Hotels,Johannesburg,Bryanston,Gauteng,https://www.clhg.com,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=hospitality; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.clhg.com/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Clicks Group,Retail,Pharmacy and Retail,Johannesburg,,Gauteng,https://www.clicksgroup.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=retail; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.clicksgroup.co.za/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Dis-Chem Pharmacies,Retail,Pharmacy and Retail,Midrand,,Gauteng,https://www.dischem.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=retail; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.dischem.co.za/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
SPAR Group,Retail,Food Retail,Johannesburg,,Gauteng,https://www.spar.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=retail; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.spar.co.za/contact,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
Pick n Pay Retailers,Retail,Food Retail,Johannesburg,,Gauteng,https://www.picknpay.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=retail; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.picknpay.co.za/store-locator,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
John Craig,Retail,Apparel Retail,Sandton,,Gauteng,https://www.johncraig.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,51,C,Sector fit=retail; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.johncraig.co.za/about/contact-us,2026-09-09,Not Contacted,Top-50 seed; verify decision maker and direct contacts before outreach.
