Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Phaki Personnel Management Services,Professional Services,Recruitment,Pretoria,,Gauteng,https://www.phakipersonnel.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.phakipersonnel.co.za/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 11. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Quest Staffing Solutions,Professional Services,Recruitment,Johannesburg,Gallo Manor,Gauteng,https://quest.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139126/quest-staffing-solutions-johannesburg,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 12. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Measured Ability Staffing (MASA),Professional Services,Recruitment,Johannesburg,Houghton Estate,Gauteng,https://measuredability.com,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138363/measured-ability,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 13. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Robert Walters Johannesburg,Professional Services,Recruitment,Sandton,,Gauteng,https://www.robertwalters.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138346/robert-walters-johannesburg,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 14. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Aurecon,Engineering,Engineering Consultancy,Pretoria,,Gauteng,https://www.aurecongroup.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.aurecongroup.com/contact,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 15. Messaging Priority: Managed IT baseline with proactive support and cybersecurity hardening.
Imperial Logistics,Logistics/Transport,Logistics,Johannesburg,,Gauteng,https://www.imperiallogistics.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.imperiallogistics.com/contact-us/,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 16. Messaging Priority: Always-on connectivity for distributed users, fleets, and branches."
Super Group,Logistics/Transport,Fleet and Logistics,Sandton,,Gauteng,https://www.supergroup.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.supergroup.co.za/contact,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 17. Messaging Priority: Always-on connectivity for distributed users, fleets, and branches."
RCL Foods (Vector Logistics),Logistics/Transport,Supply Chain,Midrand,,Gauteng,https://www.rclfoods.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Infrastructure/network support, endpoint management, managed IT, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=logistics; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.rclfoods.com/contact-us/,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 18. Messaging Priority: Always-on connectivity for distributed users, fleets, and branches."
GIBB Engineering & Architecture,Engineering,Engineering Consultancy,Johannesburg,Woodmead,Gauteng,https://www.gibb.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.gibb.co.za/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 19. Messaging Priority: Managed IT baseline with proactive support and cybersecurity hardening.
Bigen Group,Engineering,Engineering and Infrastructure,Pretoria,,Gauteng,https://www.bigenafrica.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.bigenafrica.com/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 20. Messaging Priority: Managed IT baseline with proactive support and cybersecurity hardening.
