Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Aurecon,Engineering,Engineering Consultancy,Pretoria,,Gauteng,https://www.aurecongroup.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.aurecongroup.com/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
GIBB Engineering & Architecture,Engineering,Engineering Consultancy,Johannesburg,Woodmead,Gauteng,https://www.gibb.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.gibb.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Bigen Group,Engineering,Engineering and Infrastructure,Pretoria,,Gauteng,https://www.bigenafrica.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,57,C,Sector fit=engineering; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.bigenafrica.com/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Afrizan People Intelligence,Professional Services,Recruitment and Consulting,Johannesburg,,Gauteng,https://www.afrizan.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,55,C,Sector fit=consulting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.afrizan.co.za/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Six Sense Consulting,Consulting Services,Consulting/Recruitment/Training,Randburg,Greenside East,Gauteng,https://www.sixsense.co.za/,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,55,C,Sector fit=consulting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/location/gauteng,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Stefanutti Stocks,Construction,Construction Services,Bedfordview,,Gauteng,https://www.stefanuttistocks.com,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.stefanuttistocks.com/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Tiber Construction,Construction,Construction Services,Sandton,,Gauteng,https://www.tiber.co.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.tiber.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Galetti Corporate Real Estate,Property,Commercial Property,Sandton,,Gauteng,https://www.galetti.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.galetti.co.za/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Pam Golding Properties,Property,Real Estate,Johannesburg,,Gauteng,https://www.pamgolding.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.pamgolding.co.za/offices/gauteng,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Training Force,Training/Education,Corporate Training,Roodepoort,,Gauteng,https://www.trainingforce.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.trainingforce.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
CrawfordSchools,Training/Education,Private Education,Johannesburg,Lonehill,Gauteng,https://www.crawfordschools.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.crawfordschools.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Rawson Properties,Property,Real Estate,Randburg,,Gauteng,https://www.rawson.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.rawson.co.za/contact-us,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Seeff Properties,Property,Real Estate,Randburg,,Gauteng,https://www.seeff.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.seeff.com/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
SGB-Cape,Construction,Construction Services,Germiston,,Gauteng,https://www.sgb-cape.co.za,,,,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=construction; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.sgb-cape.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Tower Property Fund,Property,Property Fund,Johannesburg,Illovo,Gauteng,https://www.towerpropertyfund.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.towerpropertyfund.co.za/contact-us,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Africa Skills Village,Training/Education,Skills Training,Centurion,,Gauteng,https://www.africaskills.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=training; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.africaskills.co.za/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Etchells and Young Property Brokers,Property,Commercial Property,Johannesburg,Ferndale,Gauteng,https://www.etchellsandyoung.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139123/etchells-and-young-property-brokers,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Chas Everitt Head Office,Property,Real Estate,Johannesburg,Randpark Ridge,Gauteng,https://www.chaseveritt.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,54,C,Sector fit=property; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139137/chas-everitt-head-office,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
